n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60
60,2489,41,1,1,1,2,3,4,6,7,8,9,10,12,13,15,18,19,20,23,25,26,28,29,29,32,32,33,35,35,37,40,40,41,42,43,48,51,51,52,59,60,60,63,63,65,67,68,68,68,69,69,70,73,74,77,77,78,82,82,85,91
60,2282,38,1,1,2,2,4,5,8,9,9,12,13,13,15,16,16,18,19,19,20,26,26,27,29,29,30,31,32,32,32,34,37,39,39,40,41,44,45,45,49,50,50,51,54,55,59,59,60,62,62,65,68,68,69,70,71,73,79,80,83,85
60,2299,38,1,1,3,4,4,5,7,7,11,12,13,13,13,18,19,20,21,21,22,24,24,26,26,26,28,30,30,34,34,35,37,38,38,38,42,42,42,47,48,49,50,51,51,52,52,55,61,62,64,64,70,74,75,77,77,78,81,84,84,84
60,2112,35,1,1,1,2,3,4,5,5,9,9,9,12,12,14,15,16,16,18,19,19,21,21,21,23,26,26,28,28,30,33,36,36,38,39,40,41,42,43,44,44,45,47,48,49,55,56,56,57,60,61,63,63,64,67,73,74,75,80,81,88
60,1713,28,1,1,1,2,4,5,5,6,7,8,9,10,10,11,12,14,15,15,17,18,19,20,20,21,22,22,22,25,26,26,28,28,28,31,33,34,36,36,36,36,36,37,40,42,44,44,44,44,45,48,49,50,50,52,56,58,60,61,62,71
60,1785,29,1,1,1,2,2,3,5,7,7,7,8,10,10,13,13,14,15,15,15,16,17,20,21,22,24,25,25,27,27,28,28,31,32,33,33,35,35,35,39,39,42,43,43,45,47,47,48,50,51,52,53,54,54,55,56,57,59,60,60,68
60,942,15,1,1,1,1,2,2,3,3,3,4,4,6,6,6,7,7,7,8,8,9,9,10,10,11,12,12,13,13,15,15,16,16,16,16,17,17,18,19,19,20,20,21,21,22,23,24,24,28,28,29,29,30,30,30,31,31,31,33,34,40
60,1604,26,1,1,2,3,4,4,4,5,7,7,9,10,10,11,12,12,12,15,16,18,18,19,19,20,20,24,24,25,25,27,27,28,28,29,30,30,30,33,34,36,37,38,38,39,39,39,39,41,43,44,47,48,49,49,49,50,50,55,60,61
60,2153,35,1,1,3,4,6,6,6,7,8,9,9,13,15,15,16,16,17,19,20,20,22,23,24,24,25,27,28,30,31,33,34,35,35,37,37,41,42,42,44,45,47,48,52,54,54,56,58,61,64,66,66,67,67,67,73,73,75,77,79,79
60,4966,82,1,5,5,9,13,14,17,17,21,22,22,27,30,39,39,41,44,46,51,52,55,59,62,65,65,68,69,76,79,80,82,86,89,91,92,96,99,99,101,107,116,119,120,120,121,128,129,130,132,135,139,146,148,154,155,158,163,167,172,179
60,2063,34,1,1,2,2,2,5,5,5,9,10,11,13,13,14,16,17,17,18,18,19,21,22,22,24,26,26,26,27,29,32,35,35,36,36,36,39,40,41,41,45,46,47,48,51,53,53,55,56,58,59,61,64,67,67,68,71,73,74,74,81
60,2314,38,1,1,1,1,5,5,6,7,9,9,12,13,14,15,16,17,19,25,25,25,27,28,30,32,32,34,34,35,36,36,36,40,40,44,46,48,48,49,51,53,53,54,57,58,58,59,60,62,62,62,64,65,65,67,74,74,75,79,80,81
60,2129,35,1,1,1,2,2,4,7,7,9,11,12,12,14,15,16,17,20,20,21,22,22,23,26,26,27,28,28,30,31,32,32,33,35,38,41,41,44,45,46,46,46,46,47,49,50,50,54,57,58,59,59,61,62,67,68,68,77,83,88,92
60,1443,24,1,1,1,2,2,4,4,5,5,6,6,8,10,10,11,12,12,12,13,14,16,17,17,17,18,19,19,20,20,20,21,22,24,24,26,26,30,32,33,33,33,34,35,37,38,38,38,39,40,43,44,45,46,46,46,47,48,49,49,55
60,3231,53,1,3,3,6,8,9,10,12,13,18,18,19,21,22,22,25,26,33,34,34,35,35,38,44,45,48,48,48,49,50,53,56,57,59,59,61,67,68,71,73,78,78,78,82,83,84,85,89,90,91,92,92,94,95,95,99,103,104,104,114
60,4445,74,1,4,4,8,10,12,12,13,20,22,23,27,29,34,36,37,38,44,45,45,46,48,53,54,54,54,61,67,70,74,75,76,81,84,84,85,90,92,95,100,102,103,105,108,108,109,111,119,120,122,127,130,132,132,143,144,149,157,158,159
60,1631,27,1,1,1,2,3,4,4,5,5,6,6,8,8,10,13,13,13,14,14,16,16,16,17,19,24,25,25,27,27,27,28,29,30,30,32,33,33,34,36,36,36,37,37,39,39,40,41,42,43,45,48,49,49,50,52,54,55,56,62,66
60,2138,35,1,2,4,4,4,6,6,8,9,11,11,14,15,16,16,17,19,19,19,20,22,22,23,25,26,29,30,30,32,33,33,33,36,37,40,41,42,45,49,50,50,51,52,53,54,55,57,58,61,61,61,62,64,64,66,66,74,74,75,81
60,2163,36,1,1,3,4,5,6,7,7,10,11,11,11,12,14,16,17,17,17,21,21,22,24,26,26,31,31,33,34,34,35,36,36,37,37,38,39,43,43,43,47,48,48,49,50,52,53,58,60,61,61,63,63,64,64,66,74,75,77,84,86
60,2672,44,1,1,3,5,6,7,7,7,8,8,10,15,16,18,19,21,21,23,24,26,27,29,34,34,35,35,37,38,39,42,45,45,46,49,51,51,54,56,59,59,62,65,65,66,70,70,70,72,76,76,78,78,82,84,85,87,90,92,96,97
60,4110,68,1,2,3,4,7,11,11,14,16,18,21,25,27,29,32,32,34,35,44,48,50,50,51,55,56,59,62,66,68,70,71,71,75,76,77,82,83,84,84,89,93,102,102,102,103,104,104,105,106,112,112,115,117,121,122,123,133,139,146,156
60,2149,35,1,1,1,2,6,7,8,9,10,11,13,13,14,15,18,19,19,23,25,25,26,27,27,30,30,31,32,33,33,35,36,37,37,38,39,40,40,45,45,45,47,49,49,52,54,55,55,56,57,58,59,62,64,64,65,66,67,69,72,83
60,3963,66,1,2,3,6,7,8,8,11,12,15,20,23,24,25,26,30,34,34,35,36,42,43,45,49,50,52,54,57,57,64,69,70,70,72,75,78,82,83,87,88,93,95,96,97,102,107,107,111,114,115,116,116,121,121,123,130,130,136,141,145
60,1959,32,1,1,2,2,3,4,5,8,9,9,10,10,11,12,12,13,15,15,16,20,21,22,22,25,25,28,29,30,30,31,31,32,34,36,37,37,38,40,41,43,43,44,46,46,48,50,50,51,55,56,58,59,63,63,64,67,68,70,70,78
60,1645,27,1,1,1,1,1,2,4,6,7,8,8,8,9,10,13,14,15,16,17,17,17,18,18,18,21,21,22,22,24,24,25,27,28,30,31,32,32,35,35,37,37,38,39,39,40,40,43,44,46,47,48,50,51,53,53,54,55,57,59,76
60,2552,42,1,2,2,3,3,5,5,7,11,12,13,18,19,19,20,21,22,23,24,24,29,32,32,32,32,35,38,39,41,41,42,43,45,46,47,47,52,52,53,53,56,57,61,63,64,64,67,68,69,70,72,74,74,75,78,79,82,94,97,103
60,3210,53,1,1,3,3,4,6,11,12,14,16,17,19,22,22,23,26,29,29,30,30,37,37,38,38,42,44,45,50,52,52,53,56,58,59,61,65,67,68,69,70,73,73,73,76,81,83,83,84,87,90,91,93,95,96,102,103,107,107,115,119
60,3328,55,1,2,3,5,9,11,12,15,18,20,20,21,22,24,24,25,29,32,36,37,39,41,42,43,44,44,46,47,47,57,57,61,61,62,63,66,68,70,72,74,75,81,81,81,81,81,83,84,85,88,89,90,100,100,101,107,107,111,115,118
60,2173,36,1,1,2,3,3,4,6,7,7,8,10,11,14,15,15,15,17,18,20,21,21,24,25,27,28,29,30,30,34,37,37,40,41,42,43,44,45,45,47,49,49,49,50,55,56,56,59,62,62,63,64,64,65,66,68,69,69,72,79,80
60,2314,38,1,1,1,1,3,3,5,10,13,13,13,14,14,15,16,19,20,21,22,24,25,29,29,29,29,30,30,30,32,39,39,40,41,43,46,46,47,49,49,52,52,52,53,54,57,58,59,60,63,66,66,67,70,70,71,74,83,85,85,86
60,3222,53,1,2,3,3,6,8,9,13,15,18,19,20,22,25,26,27,29,29,31,32,33,37,37,40,41,42,45,47,50,53,54,54,55,57,58,60,66,66,66,68,70,72,73,75,77,82,83,86,86,91,92,94,94,104,104,111,111,112,119,119
60,2227,37,1,1,1,3,5,6,6,7,9,9,10,12,13,15,15,19,20,22,23,23,24,24,25,27,29,31,32,36,36,37,38,38,39,39,40,40,42,42,43,46,47,48,52,53,58,59,60,62,62,62,64,64,69,73,74,74,77,79,79,83
60,2931,48,1,2,3,4,5,7,7,8,13,14,18,19,20,21,26,27,28,28,31,33,34,34,36,37,38,39,42,42,47,48,51,52,53,56,59,61,62,66,66,66,66,68,69,70,70,72,73,73,75,76,79,80,81,86,88,93,95,101,104,108
60,2469,41,1,1,2,3,3,4,7,9,11,12,13,14,15,17,17,17,23,23,24,25,27,28,28,29,33,34,36,36,37,38,38,40,44,45,45,46,48,49,50,51,52,57,61,62,62,64,65,65,66,67,73,73,75,80,81,86,86,87,88,96
60,1144,19,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7,9,10,10,10,11,11,13,13,14,14,16,16,17,18,19,19,19,21,23,23,24,26,26,26,27,27,28,28,28,28,31,31,32,33,34,35,36,36,37,37,38,40,40,46
